ID;Date;SCORE;ForwardHead;LeftArmFallForward;RightArmFallForward;LeftShoulderElevation;RightShoulderElevation;ExcessiveForwardLean;LeftAsymmetricalWeightShift;RightAsymmetricalWeightShift;LeftKneeMovesInward;RightKneeMovesInward;LeftKneeMovesOutward;RightKneeMovesOutward;LeftHeelRises;RightHeelRises;AimoScore;No_1_Angle_Deviation;No_2_Angle_Deviation;No_3_Angle_Deviation;No_4_Angle_Deviation;No_5_Angle_Deviation;No_6_Angle_Deviation;No_7_Angle_Deviation;No_8_Angle_Deviation;No_9_Angle_Deviation;No_10_Angle_Deviation;No_11_Angle_Deviation;No_12_Angle_Deviation;No_13_Angle_Deviation;No_1_NASM_Deviation;No_2_NASM_Deviation;No_3_NASM_Deviation;No_4_NASM_Deviation;No_5_NASM_Deviation;No_6_NASM_Deviation;No_7_NASM_Deviation;No_8_NASM_Deviation;No_9_NASM_Deviation;No_10_NASM_Deviation;No_11_NASM_Deviation;No_12_NASM_Deviation;No_13_NASM_Deviation;No_14_NASM_Deviation;No_15_NASM_Deviation;No_16_NASM_Deviation;No_17_NASM_Deviation;No_18_NASM_Deviation;No_19_NASM_Deviation;No_20_NASM_Deviation;No_21_NASM_Deviation;No_22_NASM_Deviation;No_23_NASM_Deviation;No_24_NASM_Deviation;No_25_NASM_Deviation;No_1_Time_Deviation;No_2_Time_Deviation;EstimatedScore
b7ff5265-b23a-4142-863e-c35b2b45494e.Kinect;YYYY-00-DD 00:00:SS;0,49648105758396;0,37;0,77;1,06;0,68;1,35;0,17;0;0;0;0,94;0;0;0;0;0,49648105758396;0,548541367766619;0,699186991869919;0,363940698230512;0,70492587278814;0,163079866092779;0,884265901482544;0,350071736011478;0,521759923481588;0,408417025346724;0,643711142993783;0,932568149210904;0,681013868962219;0,67766618842659;0,163079866092779;0,350071736011478;0,548541367766619;0,643711142993783;0,67766618842659;0,471066475370636;0,740793878527021;0,580583452893352;0,582974653275945;0,729794356767097;0,51219512195122;0,465805834528933;0,737446197991392;0,374461979913917;0,459110473457676;0,316594930655189;0,378287900526064;0,504065040650406;0,670970827355332;0,65662362505978;0,642276422764228;0,552845528455285;0,648971783835485;0,57819225251076;0,308943089430894;0,394069823051172;0,297465327594452;0,148732663797226
f0defe1c-972c-4862-9746-df716077832e.Kinect;YYYY-00-DD 00:00:SS;0,0804118276746077;0,28;1,06;1,4;1,38;1,08;1,5;1,5;0;0;0,06;0;0;0;0;0,0804118276746077;0,971783835485414;0,983261597321856;0,790530846484935;0,996652319464371;0,504065040650406;0,866092778574845;0,290769966523195;0,9818268770923;0,340985174557628;0,602582496413199;0,63558106169297;0,372070779531325;0,742228598756576;0,504065040650406;0,290769966523195;0,971783835485414;0,602582496413199;0,742228598756576;0,471066475370636;0,577714012434242;0,824964131994261;0,912482065997131;0,992826398852224;0,554758488761358;0,631276901004304;0,624581539933046;0,36154949784792;0,459110473457676;0,376374940219991;0,913438546150167;0,971783835485414;0,966044954567193;0,779531324725012;0,642276422764228;0,552845528455285;0,648971783835485;0,57819225251076;0,629842180774749;0,788617886178862;0,808225729316117;0,928263988522238
cc7adf06-dcda-4187-ab80-16f073e76c8b.Kinect;YYYY-00-DD 00:00:SS;0,879839511191137;0;0,14;1,08;0,05;0,11;0;0;0;0;0;0;0;0;0;0,879839511191137;0,279770444763271;0,949306551889048;0,346724055475849;0,204208512673362;0,379244380679101;0,144906743185079;0,371592539454806;0,521759923481588;0,156384505021521;0,564323290291726;0,63558106169297;0,232902917264467;0,598278335724534;0,379244380679101;0,371592539454806;0,279770444763271;0,564323290291726;0,598278335724534;0,510282161645146;0,164992826398852;0,589191774270684;0,245815399330464;0,286465805834529;0,339072214251554;0,470109995217599;0,544715447154472;0,140602582496413;0,492587278813965;0,845050215208034;0,378287900526064;0,441415590626494;0,670970827355332;0,805356288857006;0,751315160210426;0,570062171209947;0,648971783835485;0,629842180774749;0,621712099473936;0,148732663797226;0,151123864179818;0,0559540889526542
2dd37697-85a8-4daa-aa3d-7d9225faeebb.Kinect;YYYY-00-DD 00:00:SS;0,554598150677373;0;0,02;0,16;1,22;1,17;0;0,12;0;0,29;1,4;0;0;0;0;0,554598150677373;0,499760879961741;0,178383548541368;0,369201339072214;0,916307986609278;0,818747010999522;0,892395982783357;0,873744619799139;0,521759923481588;0,872309899569584;0,96987087517934;0,63558106169297;0,978479196556671;0,866571018651363;0,818747010999522;0,873744619799139;0,499760879961741;0,96987087517934;0,866571018651363;0,746532759445242;0,270205643232903;0,734098517455763;0,649928263988522;0,286465805834529;0,603060736489718;0,653275944524151;0,877092300334768;0,895743663318986;0,742228598756576;0,724055475848876;0,390722142515543;0,441415590626494;0,670970827355332;0,65662362505978;0,642276422764228;0,552845528455285;0,648971783835485;0,57819225251076;0,308943089430894;0,800095648015304;0,807747489239598;0,78909612625538
1cf45dd6-821f-444d-a102-5e94dca748a8.Kinect;YYYY-00-DD 00:00:SS;0,793088734669072;0;0,06;0,01;0,08;0,2;0,04;0,14;0;0;0,71;0;0;0;0;0,793088734669072;0,727403156384505;0,788617886178862;0,346724055475849;0,380679100908656;0,437111429937829;0,266857962697274;0,278813964610234;0,521759923481588;0,239598278335725;0,270205643232903;0,63558106169297;0,417981826877092;0,209947393591583;0,437111429937829;0,278813964610234;0,727403156384505;0,270205643232903;0,209947393591583;0,784313725490196;0,164992826398852;0,633189861310378;0,282639885222382;0,700621712099474;0,589670014347202;0,62362505978001;0,544715447154472;0,275466284074605;0,459110473457676;0,447632711621234;0,378287900526064;0,441415590626494;0,670970827355332;0,835963653754185;0,642276422764228;0,552845528455285;0,648971783835485;0,57819225251076;0,861788617886179;0,276422764227642;0,398373983739837;0,10856049736968
00e4ce80-43fb-46a4-a999-230a2d817ef9.Kinect;YYYY-00-DD 00:00:SS;0,684458089424344;0,19;1,5;1,5;1,3;1,01;0;0;0,07;0;0;0;0;0;0;0,684458089424344;0,354854136776662;0,476327116212339;0,547584887613582;0,188904830224773;0,461501673840268;0,140124342419895;0,574366331898613;0,521759923481588;0,414634146341463;0,210425633668101;0,63558106169297;0,661884265901483;0,178861788617886;0,461501673840268;0,574366331898613;0,354854136776662;0,210425633668101;0,178861788617886;0,471066475370636;0,25011956001913;0,86131037780966;0,835485413677666;0,286465805834529;0,384505021520804;0,345289335246294;0,544715447154472;0,971783835485414;0,459110473457676;0,818747010999522;0,925394548063128;0,441415590626494;0,670970827355332;0,985174557627929;0,955045432807269;0,881396461023434;0,963175514108082;0,871831659493066;0,983261597321856;0,554758488761358;0,582496413199426;0,80726924916308
4a87b8cc-1039-4a86-b061-29202e48bfb2.Kinect;YYYY-00-DD 00:00:SS;0,844800739286224;0;1,04;0,56;0;0;0,2;0;0;0;0,04;0;0;0;0;0,844800739286224;0,771879483500717;0,713055954088953;0,346724055475849;0,188904830224773;0,721186035389766;0,140124342419895;0,62362505978001;0,521759923481588;0,156384505021521;0,210425633668101;0,63558106169297;0,095169775227164;0,178861788617886;0,721186035389766;0,62362505978001;0,771879483500717;0,210425633668101;0,178861788617886;0,471066475370636;0,164992826398852;0,339072214251554;0,245815399330464;0,701578192252511;0,306551889048302;0,321377331420373;0,873744619799139;0,213295074127212;0,459110473457676;0,284552845528455;0,378287900526064;0,441415590626494;0,670970827355332;0,65662362505978;0,7350549976088;0,568627450980392;0,685796269727403;0,646580583452893;0,308943089430894;0,148732663797226;0,151123864179818;0,205643232902917
3edb540a-780b-44b8-9f71-f7c24206e1ef.Kinect;YYYY-00-DD 00:00:SS;0,517832773248726;0;0,05;0;0;1,05;0,48;0;1,09;0,27;0,17;0;0;0;0;0,517832773248726;0,764705882352941;0,589670014347202;0,817312290769966;0,881396461023434;0,211860353897657;0,752749880439981;0,194165471066475;0,637972262075562;0,269727403156384;0,268770923003348;0,981348637015782;0,256336681013869;0,232902917264467;0,211860353897657;0,194165471066475;0,764705882352941;0,268770923003348;0,232902917264467;0,989478718316595;0,419416547106648;0,508369201339072;0,28024868483979;0,808225729316117;0,306551889048302;0,321377331420373;0,802486848397896;0,58727881396461;0,826877092300335;0,284552845528455;0,705882352941177;0,441415590626494;0,670970827355332;0,65662362505978;0,986609277857484;0,848876135820182;0,880918220946915;0,57819225251076;0,740315638450502;0,423720707795313;0,563845050215208;0,586322333811573
d6fbcb4c-0c8f-411b-bfa4-ae0ae9256fa6.Kinect;YYYY-00-DD 00:00:SS;0,778062752993791;0;0,61;0,44;0,02;0;0;0,68;0;0;0,09;0,06;0;0;0;0,778062752993791;0,402678144428503;0,471544715447154;0,346724055475849;0,442372070779531;0,163079866092779;0,140124342419895;0,194165471066475;0,744619799139168;0,498326159732186;0,556671449067432;0,63558106169297;0,624581539933046;0,485891917742707;0,163079866092779;0,194165471066475;0,402678144428503;0,556671449067432;0,485891917742707;0,766140602582496;0,164992826398852;0,615494978479197;0,286944045911047;0,583931133428981;0,670970827355332;0,81013868962219;0,915829746532759;0,18077474892396;0,872309899569584;0,557627929220469;0,839789574366332;0,441415590626494;0,670970827355332;0,65662362505978;0,85844093735055;0,776661884265901;0,648971783835485;0,704447632711621;0,697752271640363;0,173601147776184;0,193208990913438;0,167862266857963
147db2e3-78ab-4f91-9f68-554b1bc27000.Kinect;YYYY-00-DD 00:00:SS;0,811192662915718;0;0;0,02;0,18;1,24;0;0,3;0;0;0;0;0;0;0;0,811192662915718;0,279770444763271;0,392156862745098;0,383548541367767;0,20181731229077;0,163079866092779;0,582974653275945;0,238641798182688;0,521759923481588;0,156384505021521;0,274988043998087;0,63558106169297;0,293161166905787;0,238163558106169;0,163079866092779;0,238641798182688;0,279770444763271;0,274988043998087;0,238163558106169;0,858919177427068;0,449545671927307;0,339072214251554;0,245815399330464;0,514108082257293;0,398373983739837;0,321377331420373;0,562888570062171;0,423242467718795;0,511238641798183;0,616929698708752;0,546628407460545;0,441415590626494;0,670970827355332;0,65662362505978;0,642276422764228;0,552845528455285;0,648971783835485;0,57819225251076;0,363462458153993;0,188904830224773;0,233381157340985;0,0181731229076997
e2cc1377-0cb0-41b1-ad95-3011e3a97b57.Kinect;YYYY-00-DD 00:00:SS;0,425897264018331;0;1,08;0,14;0;0,42;0;0;0;0;0;0,02;1,5;0;0,3;0,425897264018331;0,279770444763271;0,115734098517456;0,346724055475849;0,319464371114299;0,925394548063128;0,699665231946437;0,946437111429938;0,521759923481588;0,409373505499761;0,925394548063128;0,63558106169297;0,85844093735055;0,938307030129125;0,925394548063128;0,946437111429938;0,279770444763271;0,925394548063128;0,938307030129125;0,571975131516021;0,499760879961741;0,339072214251554;0,468675274988044;0,386896221903396;0,922525107604017;0,920612147297944;0,544715447154472;0,713534194165471;0,459110473457676;0,793400286944046;0,378287900526064;0,724533715925395;0,670970827355332;0,904351984696318;0,669057867049259;0,74988043998087;0,648971783835485;0,608799617407939;0,923481587757054;0,694404591104735;0,661884265901483;0,840746054519369
f3a516a2-2f62-4e5d-bc5b-c8f7bae7ab1f.Kinect;YYYY-00-DD 00:00:SS;0,858565130884484;0;0,62;1,16;0,01;0,04;0;0,03;0;0;0,06;0,03;0;0;0;0,858565130884484;0,279770444763271;0,418460066953611;0,346724055475849;0,280726924916308;0,748923959827834;0,416068866571019;0,694882831181253;0,521759923481588;0,516499282639885;0,540889526542324;0,63558106169297;0,591104734576757;0,556193208990913;0,748923959827834;0,694882831181253;0,279770444763271;0,540889526542324;0,556193208990913;0,665231946437111;0,375896700143472;0,342419894787183;0,288378766140603;0,286465805834529;0,434720229555237;0,441415590626494;0,544715447154472;0,8675274988044;0,91869918699187;0,890004782400765;0,500717360114778;0,441415590626494;0,675274988043998;0,809182209469154;0,778096604495457;0,705882352941177;0,648971783835485;0,88857006217121;0,676709708273553;0,620755619320899;0,151123864179818;0,440937350549976
b6bd7742-4b84-423a-83c7-882154100738.Kinect;YYYY-00-DD 00:00:SS;0,65938142096037;0;1,09;1,06;0;0;0;0,14;0;0;0;1,01;0,82;0;0;0,65938142096037;0,329985652797704;0,45767575322812;0,371592539454806;0,579148732663797;0,417025346724056;0,507890961262554;0,290291726446676;0,923003347680536;0,963175514108082;0,755619320899091;0,966523194643711;1;0,772357723577236;0,417025346724056;0,290291726446676;0,329985652797704;0,755619320899091;0,772357723577236;0,471066475370636;0,521281683405069;0,465327594452415;0,245815399330464;0,552367288378766;0,710186513629842;0,493543758967001;0,682926829268293;1;0,482065997130559;0,980392156862745;0,871353419416547;0,51219512195122;0,950263032042085;0,995217599234816;1;0,907221425155428;1;0,986609277857484;0,308943089430894;0,711142993782879;0,732185557149689;0,969392635102822
a13c0079-1a3b-484e-bc93-d30bf948e9ed.Kinect;YYYY-00-DD 00:00:SS;0,759515362892085;0,16;1,1;1,16;0,55;1,03;0;0;0;0;0,02;0;0;0;0;0,759515362892085;0,279770444763271;0,288378766140603;0,516499282639885;0,751315160210426;0,779053084648494;0,715447154471545;0,678144428503109;0,521759923481588;0,590148254423721;0,225251076040172;0,63558106169297;0,095169775227164;0,178861788617886;0,779053084648494;0,678144428503109;0,279770444763271;0,225251076040172;0,178861788617886;0,471066475370636;0,692013390722143;0,339072214251554;0,245815399330464;0,286465805834529;0,306551889048302;0,321377331420373;0,544715447154472;0,357245337159254;0,824485891917743;0,284552845528455;0,378287900526064;0,441415590626494;0,740315638450502;0,65662362505978;0,642276422764228;0,552845528455285;0,648971783835485;0,57819225251076;0,308943089430894;0,991869918699187;0,990435198469632;0,558106169296987
7c70766a-0b01-40a0-91b5-e10d3830b039.Kinect;YYYY-00-DD 00:00:SS;0,0490242243267836;1,15;1,5;1,5;1,3;1,39;1,5;0;0;0;1,22;0;0;0;0;0,0490242243267836;0,790052606408417;0,956958393113343;0,617886178861789;0,923481587757054;0,972740315638451;0,961262553802009;0,751315160210426;0,863223338115734;0,456241032998565;0,48780487804878;0,989956958393113;0,566714490674319;0,421329507412721;0,972740315638451;0,751315160210426;0,790052606408417;0,48780487804878;0,421329507412721;0,95791487326638;0,860832137733142;0,994261119081779;0,994739359158297;0,997608799617408;0,607364897178384;0,596843615494978;0,778574844571975;0,93687230989957;0,692969870875179;0,552367288378766;0,846963175514108;0,993782879005261;0,750358680057389;0,956958393113343;0,917264466762315;0,981348637015782;0,974175035868006;0,881396461023434;0,585844093735055;0,485891917742707;0,373983739837398;0,993782879005261
ea3e4cb3-a5f2-4483-8a7f-265abc1bb703.Kinect;YYYY-00-DD 00:00:SS;0,81033742126188;0;1,16;1,06;0;0,07;0;0;0;0;0,32;0;0;0;0;0,81033742126188;0,279770444763271;0,0923003347680536;0,392156862745098;0,799617407938785;0,722620755619321;0,753228120516499;0,730272596843615;0,521759923481588;0,156384505021521;0,654710664753706;0,63558106169297;0,219033955045433;0,677187948350072;0,722620755619321;0,730272596843615;0,279770444763271;0,654710664753706;0,677187948350072;0,471066475370636;0,220946915351507;0,552367288378766;0,251076040172166;0,580105212816834;0,713055954088953;0,706360593017695;0,544715447154472;0,588713534194165;0,459110473457676;0,284552845528455;0,453371592539455;0,502152080344333;0,670970827355332;0,65662362505978;0,642276422764228;0,896221903395505;0,648971783835485;0,57819225251076;0,308943089430894;0,148732663797226;0,186513629842181;0,424198947871832
9e6d5682-36d8-4428-95e8-2bc6ad3070f0.Kinect;YYYY-00-DD 00:00:SS;0,407113366423399;0;1,08;0,13;0;0,42;0;0;0;0;0;0,02;1,5;0,01;0,35;0,407113366423399;0,279770444763271;0,17168818747011;0,346724055475849;0,348158775705404;0,896221903395505;0,694882831181253;0,8857006217121;0,521759923481588;0,617886178861789;0,886178861788618;0,63558106169297;0,894308943089431;0,906264945002391;0,896221903395505;0,8857006217121;0,279770444763271;0,886178861788618;0,906264945002391;0,648493543758967;0,535150645624103;0,339072214251554;0,436154949784792;0,333333333333333;0,902439024390244;0,958871353419417;0,728359636537542;0,499282639885222;0,459110473457676;0,861788617886179;0,378287900526064;0,60545193687231;0,670970827355332;0,65662362505978;0,791487326637972;0,901960784313726;0,648971783835485;0,57819225251076;0,877092300334768;0,998565279770445;0,999521759923482;0,93687230989957
