ID,Date,SCORE,ForwardHead,LeftArmFallForward,RightArmFallForward,LeftShoulderElevation,RightShoulderElevation,ExcessiveForwardLean,LeftAsymmetricalWeightShift,RightAsymmetricalWeightShift,LeftKneeMovesInward,RightKneeMovesInward,LeftKneeMovesOutward,RightKneeMovesOutward,LeftHeelRises,RightHeelRises
f21512ad-3c8d-49e4-b896-54a8606bd47a.Kinect,7/12/2018,0.493046917,1.06,1.48,1.47,0.47,0.46,0.0,0.0,0.0,0.49,1.02,0.0,0.0,0.0,0.0
47a02f91-a628-4b78-8264-f35b88cb185f.Kinect,8/23/2018,0.408420905,0.0,1.08,0.13,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.02,1.5,0.01,0.34
ae47d791-9d61-4167-9198-82d36584b2b4.Kinect,9/10/2018,0.558258538,0.81,0.48,0.38,0.0,0.38,1.22,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003115c4-bdb8-491c-b571-8fcebdecf8ed.Kinect,10/24/2018,0.323698593,0.0,1.4,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.12,0.0,0.75,0.0
a5af5f7c-7935-4196-83c3-d476ac52f23b.Kinect,7/18/2018,0.662425392,0.0,0.77,0.46,0.07,0.17,1.16,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
3e2e7bcf-b4c8-432c-80ed-0cb9ee67f66d.Kinect,8/14/2018,0.165703493,0.0,0.81,0.0,0.15,0.09,0.0,0.0,0.0,0.3,0.0,0.0,1.5,1.09,0.44
a4856db6-fa80-4231-907c-4d0fc50f1d62.Kinect,10/18/2018,0.772911867,0.54,1.07,1.01,0.38,0.56,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
018b3908-ef64-4151-a6fd-f93d2a5ad0e8.Kinect,8/23/2018,0.6133696,0.0,0.76,0.05,0.77,1.08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
c5ef7bf4-a6ad-46ff-badd-135d645555fb.Kinect,6/8/2018,0.835189816,0.0,1.06,1.13,0.0,0.43,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
9866177c-ecb0-4702-8c20-881df381f220.Kinect,5/10/2018,0.738457985,0.0,1.35,1.5,0.62,0.52,0.0,0.0,0.0,0.24,0.12,0.0,0.0,0.0,0.0
0b4ae995-29cd-42f1-91aa-37bb5d5a5d28.Kinect,8/14/2018,0.601372325,0.0,0.81,0.32,0.06,0.25,1.08,0.0,0.19,0.17,0.0,0.0,0.0,0.0,0.0
