AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore,ID
0.459908229,0.732185557,0.379244381,0.577714012,0.482544237,0.606886657,0.491630799,0.555236729,0.645624103,0.181252989,0.210425634,0.760879962,0.783357245,0.178861789,0.606886657,0.555236729,0.732185557,0.210425634,0.178861789,0.901482544,0.277857484,0.339072214,0.245815399,0.578192253,0.818268771,0.835963654,0.544715447,0.871831659,0.459110473,0.284552846,0.49736968,0.679579149,0.670970827,0.656623625,0.642276423,0.552845528,0.648971784,0.578192253,0.550454328,0.148732664,0.151123864,0.322812052,8229f082-02e8-424a-ae5c-148c275206d9.Kinect
0.845410835,0.279770445,0.092300335,0.456719273,0.37685318,0.355332377,0.140124342,0.194165471,0.648015304,0.156384505,0.765662363,0.635581062,0.095169775,0.776661884,0.355332377,0.194165471,0.279770445,0.765662363,0.776661884,0.471066475,0.529411765,0.339072214,0.245815399,0.628885701,0.795313247,0.826398852,0.644667623,0.758488761,0.459110473,0.284552846,0.378287901,0.441415591,0.670970827,0.656623625,0.932089909,0.819225251,0.779531325,0.578192253,0.381157341,0.698230512,0.746532759,0.129124821,e905188f-9f67-45cf-a1a3-42e68c461b33.Kinect
0.712625844,0.729794357,0.849354376,0.824964132,0.883787661,0.693448111,0.735054998,0.575322812,0.521759923,0.466762315,0.357723577,0.635581062,0.456719273,0.508369201,0.693448111,0.575322812,0.729794357,0.357723577,0.508369201,0.471066475,0.707317073,0.339072214,0.245815399,0.286465806,0.569583931,0.654710665,0.544715447,0.092778575,0.538976566,0.294595887,0.443328551,0.638450502,0.670970827,0.656623625,0.642276423,0.552845528,0.648971784,0.578192253,0.308943089,0.951697752,0.957436633,0.490674319,7f0fa3a8-4b92-4704-a2ee-9e6d5edfdf42.Kinect
0.561489886,0.638928742,0.709708274,0.346724055,0.18890483,0.163079866,0.571975132,0.194165471,0.525107604,0.235772358,0.568627451,0.967001435,0.448110952,0.580583453,0.163079866,0.194165471,0.638928742,0.568627451,0.580583453,0.471066475,0.953132473,0.800095648,0.837398374,0.912960306,0.463414634,0.321377331,0.818747011,0.651841224,0.459110473,0.679100909,0.651362984,0.441415591,0.670970827,0.744141559,0.849832616,0.897656624,0.924438068,0.680057389,0.693448111,0.262553802,0.269249163,0.443328551,ddca3592-385c-47c3-b77a-045fa4338448.Kinect
0.573988046,0.345289335,0.650406504,0.642276423,0.56193209,0.444285031,0.208990913,0.473935916,0.762314682,0.468675275,0.210425634,0.635581062,0.095169775,0.280248685,0.444285031,0.473935916,0.345289335,0.210425634,0.280248685,0.471066475,0.87374462,0.567670971,0.719751315,0.830703013,0.306551889,0.418938307,0.544715447,0.208034433,0.459110473,0.518890483,0.694404591,0.441415591,0.670970827,0.656623625,0.642276423,0.552845528,0.648971784,0.578192253,0.653754185,0.521281683,0.555714969,0.214729794,cc25d219-f32e-483e-9234-bd191978a430.Kinect
0.801779356,0.662362506,0.636059302,0.349593496,0.534672406,0.69057867,0.599713056,0.546150167,0.521759923,0.233859397,0.506934481,0.676709708,0.219512195,0.56336681,0.69057867,0.546150167,0.662362506,0.506934481,0.56336681,0.662840746,0.200860832,0.473457676,0.31372549,0.307986609,0.37685318,0.463414634,0.87278814,0.168340507,0.68818747,0.475848876,0.654232425,0.441415591,0.670970827,0.656623625,0.642276423,0.665231946,0.648971784,0.578192253,0.417981827,0.398852224,0.416068867,0.214251554,59bbb9d9-f521-4726-8502-427a0d0643c9.Kinect
0.407064192,0.279770445,0.160688666,0.346724055,0.293639407,0.93543759,0.653754185,0.933046389,0.521759923,0.56001913,0.947871832,0.635581062,0.87278814,0.963653754,0.93543759,0.933046389,0.279770445,0.947871832,0.963653754,0.565758011,0.482065997,0.339072214,0.489239598,0.399330464,0.945002391,0.912960306,0.544715447,0.81492109,0.459110473,0.756575801,0.378287901,0.776661884,0.670970827,0.93448111,0.642276423,0.601626016,0.648971784,0.736489718,0.933524629,0.68483979,0.711621234,0.867527499,fe55ef29-7977-4ca4-b4f4-50ffbd0a708f.Kinect
0.383391162,0.403156385,0.771401243,0.793400287,0.834528934,0.445241511,0.785270206,0.194165471,0.786226686,0.916786227,0.590148254,0.890961263,0.095169775,0.566714491,0.445241511,0.194165471,0.403156385,0.590148254,0.566714491,0.944524151,0.62745098,0.882352941,0.722142516,0.858919177,0.306551889,0.321377331,0.544715447,0.137254902,0.795791487,0.296987088,0.815877571,0.802965088,0.670970827,0.717360115,0.93591583,0.734098517,0.648971784,0.594930655,0.982783357,0.619320899,0.655188905,0.665710187,cd4f65e2-0561-4888-9cb8-8733b6a32167.Kinect
0.662885231,0.279770445,0.730750837,0.660449546,0.578192253,0.792922047,0.422285988,0.726924916,0.521759923,0.156384505,0.210425634,0.635581062,0.31468197,0.178861789,0.792922047,0.726924916,0.279770445,0.210425634,0.178861789,0.471066475,0.926829268,0.339072214,0.245815399,0.286465806,0.449545672,0.321377331,0.544715447,0.12195122,0.483500717,0.284552846,0.378287901,0.441415591,0.670970827,0.656623625,0.642276423,0.552845528,0.648971784,0.578192253,0.308943089,0.911525586,0.884265901,0.512195122,2b1f824e-cafa-48b6-941d-f436b543e3be.Kinect
0.891983576,0.403634625,0.296508847,0.348637016,0.18890483,0.163079866,0.218555715,0.194165471,0.521759923,0.368244859,0.210425634,0.671927308,0.906743185,0.178861789,0.163079866,0.194165471,0.403634625,0.210425634,0.178861789,0.471066475,0.340028694,0.339072214,0.245815399,0.286465806,0.306551889,0.321377331,0.825920612,0.87517934,0.459110473,0.595408895,0.550454328,0.441415591,0.670970827,0.656623625,0.732663797,0.552845528,0.723577236,0.578192253,0.308943089,0.148732664,0.151123864,0.056432329,046e554d-c16d-41ff-b6b8-5ea277e0fc72.Kinect
