AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore,ID
0.782997043,0.777140124,0.62219034,0.879961741,0.629363941,0.474892396,0.779053085,0.352462936,0.521759923,0.784791966,0.656145385,0.806791009,0.731707317,0.635581062,0.474892396,0.352462936,0.777140124,0.656145385,0.635581062,0.966523195,0.164992826,0.399330464,0.332855093,0.771401243,0.424677188,0.49832616,0.544715447,0.898134864,0.459110473,0.581539933,0.547106648,0.7494022,0.670970827,0.850789096,0.733620277,0.634624582,0.728837877,0.799617408,0.668579627,0.415590626,0.728837877,0.382592061,57d499e9-d4bf-465e-bb0b-ce126588b84f.Kinect
0.442364472,0.389287422,0.644189383,0.774270684,0.574366332,0.708751793,0.770444763,0.6264945,0.521759923,0.682448589,0.753706361,0.734098517,0.605451937,0.848876136,0.708751793,0.6264945,0.389287422,0.753706361,0.848876136,0.506456241,0.975131516,0.796747967,0.741750359,0.630320421,0.659971306,0.840746055,0.544715447,0.369201339,0.984696318,0.93782879,0.894308943,0.441415591,0.93735055,0.656623625,0.642276423,0.552845528,0.826877092,0.970349115,0.471544715,0.2505978,0.254423721,0.797704448,6f033551-6435-47a3-ad3a-7edd86cd5648.Kinect
0.069923347,0.610234338,0.613103778,0.946437111,0.62314682,1.0,0.785748446,0.988522238,0.818747011,0.369201339,0.210425634,0.635581062,0.658536585,0.380679101,1.0,0.988522238,0.610234338,0.210425634,0.380679101,0.471066475,0.279292205,0.339072214,0.245815399,0.731229077,0.774270684,0.833094213,0.544715447,0.882352941,0.459110473,0.698708752,0.378287901,0.441415591,0.670970827,0.81109517,0.642276423,0.552845528,0.648971784,0.578192253,0.719751315,0.197034912,0.151123864,0.798660928,77b6be06-c746-467f-9b4d-d67952778457.Kinect
0.64790996,0.761358202,0.525107604,0.492587279,0.260640842,0.163079866,0.169296987,0.320899091,0.521759923,0.586800574,0.210425634,0.777618364,0.136298422,0.229076997,0.163079866,0.320899091,0.761358202,0.210425634,0.229076997,0.855093257,0.68531803,0.37207078,0.618364419,0.286465806,0.306551889,0.321377331,0.544715447,0.55954089,0.459110473,0.578192253,0.728837877,0.441415591,0.670970827,0.656623625,0.769966523,0.882352941,0.648971784,0.578192253,0.736967958,0.401721664,0.427068388,0.131516021,f3039d9e-7a93-48ef-a5f6-6c75b570a453.Kinect
0.514481083,0.607364897,0.476805356,0.346724055,0.598756576,0.651841224,0.18507891,0.545671927,0.825920612,0.704925873,0.709708274,0.635581062,0.527977044,0.730750837,0.651841224,0.545671927,0.607364897,0.709708274,0.730750837,0.703491153,0.295074127,0.68675275,0.68962219,0.286465806,0.548541368,0.321377331,0.544715447,0.364897178,0.81109517,0.718794835,0.513151602,0.4988044,0.670970827,0.656623625,0.642276423,0.732663797,0.648971784,0.578192253,0.445241511,0.949784792,0.966523195,0.357723577,46809e19-ee61-4cf1-913c-108361276a16.Kinect
0.372765578,0.470588235,0.451458632,0.932089909,0.400765184,0.307986609,0.959827834,0.663318986,0.775705404,0.982305117,0.343376375,0.795791487,0.918699187,0.390722143,0.307986609,0.663318986,0.470588235,0.343376375,0.390722143,1.0,0.488761358,0.778096604,0.780009565,0.801530368,0.481587757,0.643711143,0.822572932,0.982305117,0.678144429,0.969392635,0.924438068,0.853180297,0.803921569,0.797226208,0.766140603,0.62601626,0.739359158,0.578192253,0.429937829,0.274988044,0.406504065,0.816834051,7868e62f-28e3-497c-bcd4-8d6ae01bc5e3.Kinect
0.473010066,0.279770445,0.092300335,0.346724055,0.394548063,0.280726925,0.140124342,0.261119082,0.521759923,0.180774749,0.210425634,0.635581062,0.43950263,0.178861789,0.280726925,0.261119082,0.279770445,0.210425634,0.178861789,0.471066475,0.490196078,0.971783835,0.953610713,0.906743185,0.325681492,0.321377331,0.544715447,0.468197035,0.459110473,0.284552846,0.378287901,0.474892396,0.670970827,0.656623625,0.642276423,0.552845528,0.648971784,0.578192253,0.602582496,0.148732664,0.151123864,0.179818269,db8c4794-beb5-4699-b64e-cb8d7fe98320.Kinect
0.762662062,0.897178384,0.912482066,0.346724055,0.446676231,0.321377331,0.222381636,0.194165471,0.846006695,0.447154472,0.210425634,0.635581062,0.583452893,0.178861789,0.321377331,0.194165471,0.897178384,0.210425634,0.178861789,0.471066475,0.660927786,0.842659015,0.862745098,0.607843137,0.306551889,0.321377331,0.544715447,0.135341942,0.459110473,0.284552846,0.378287901,0.441415591,0.670970827,0.656623625,0.642276423,0.552845528,0.648971784,0.578192253,0.308943089,0.489239598,0.452893352,0.175992348,bce3f4d9-ae1e-4ecf-a702-581ec979ce7b.Kinect
0.694734235,0.279770445,0.092300335,0.346724055,0.380200861,0.267336203,0.140124342,0.273075084,0.597800096,0.801530368,0.662362506,0.635581062,0.19033955,0.673840268,0.267336203,0.273075084,0.279770445,0.662362506,0.673840268,0.766618843,0.333333333,0.363462458,0.245815399,0.286465806,0.469153515,0.490196078,0.93448111,0.358201817,0.653275945,0.62458154,0.99904352,0.636059302,0.670970827,0.953610713,0.989478718,1.0,0.991391679,0.942611191,0.308943089,0.646102343,0.733620277,0.720229555,53c6255b-3d83-4889-ae8c-42cbb5d3fccb.Kinect
0.769249541,0.279770445,0.108082257,0.346724055,0.282161645,0.37541846,0.140124342,0.194165471,0.565758011,0.894308943,0.210425634,0.635581062,0.942611191,0.192252511,0.37541846,0.194165471,0.279770445,0.210425634,0.192252511,0.471066475,0.573409852,0.851267336,0.815877571,0.718316595,0.458153993,0.56527977,0.544715447,0.916786227,0.727881396,0.886178862,0.769010043,0.441415591,0.670970827,0.656623625,0.94021999,0.727881396,0.765184122,0.578192253,0.707795313,0.614538498,0.56336681,0.416068867,33c14443-e2e1-48e1-8d65-151316e03900.Kinect
