ID,Date,SCORE,ForwardHead,LeftArmFallForward,RightArmFallForward,LeftShoulderElevation,RightShoulderElevation,ExcessiveForwardLean,LeftAsymmetricalWeightShift,RightAsymmetricalWeightShift,LeftKneeMovesInward,RightKneeMovesInward,LeftKneeMovesOutward,RightKneeMovesOutward,LeftHeelRises,RightHeelRises
046feaa1-0184-44eb-bf46-e88dd14ccf72.Kinect,7/26/2018,0.81,0.0,0.07,0.0,0.0,0.32,0.58,0.01,0.0,0.18,0.12,0.01,0.0,0.0,0.0
59bbb9d9-f521-4726-8502-427a0d0643c9.Kinect,7/18/2018,0.79,0.02,0.01,0.0,0.57,1.19,0.01,0.32,0.01,0.0,0.0,0.0,0.0,0.0,0.0
e146f019-0d81-4eeb-929b-0b5497862de9.Kinect,9/11/2018,0.52,1.21,0.71,1.03,0.01,0.01,1.26,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01
a13c0079-1a3b-484e-bc93-d30bf948e9ed.Kinect,7/20/2018,0.77,0.14,1.1,1.17,0.56,1.04,0.0,0.0,0.01,0.0,0.03,0.01,0.01,0.0,0.02
e3d579f6-f6ef-4ec0-ad11-8a40369a8dff.Kinect,10/31/2018,0.41,0.0,1.08,0.14,0.0,0.43,0.01,0.02,0.0,0.0,0.0,0.02,1.49,0.0,0.35
9ea97707-a4d5-42df-8d0c-2da037cf4e0a.Kinect,9/26/2018,0.56,0.01,1.15,1.12,1.13,1.44,0.02,0.01,0.01,0.01,0.9,0.02,0.0,0.01,0.0
ed244484-f0ec-44ba-be67-300d2ac36e5f.Kinect,8/20/2018,0.75,0.97,1.39,1.37,0.29,0.27,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0
699fa29e-77c4-49dc-b6a2-05b3f9b8c6e5.Kinect,7/20/2018,0.27,0.67,1.2,1.1,0.73,0.75,1.07,1.18,0.01,0.0,0.01,0.0,0.0,0.02,0.01
c3bced09-cfe8-4738-b1c1-650bbf969fd2.Kinect,8/27/2018,0.73,0.0,1.47,1.5,0.0,0.11,0.18,0.07,0.0,0.0,0.29,0.03,0.01,0.0,0.01
97ead089-6bb9-498c-8087-db9e1719c7c5.Kinect,10/24/2018,0.54,0.0,1.5,1.5,0.18,0.0,0.0,0.0,0.01,0.0,1.08,1.4,0.0,0.01,0.0
f9a2f4a2-c452-4388-a95d-962b3a446062.Kinect,5/10/2018,0.85,0.01,0.48,0.27,0.0,0.0,0.01,0.0,0.01,0.04,0.52,0.01,0.0,0.0,0.0
c95c2a93-e870-4e22-81f7-27296330c606.Kinect,8/29/2018,0.75,0.0,1.15,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0
cf900654-0c0c-4bcb-b689-d1c24f492db8.Kinect,9/6/2018,0.4,0.0,1.09,0.15,0.01,0.42,0.01,0.01,0.0,0.01,0.0,0.01,1.5,0.01,0.35
e4a84aac-8c4e-449e-81d4-ec4e385e863d.Kinect,9/11/2018,0.62,0.0,1.27,1.11,0.39,0.0,0.0,0.01,0.97,0.1,0.0,0.0,0.01,0.0,0.0
39efb336-1629-4e96-b98b-1e219768abc8.Kinect,9/25/2018,0.4,0.0,1.09,0.14,0.01,0.42,0.0,0.0,0.0,0.0,0.0,0.02,1.49,0.02,0.34
0bee754a-6eaa-499f-a9e8-ccca6aaab0c2.Kinect,7/24/2018,0.3,1.01,1.43,1.33,0.0,0.37,0.16,0.01,0.01,0.01,0.01,0.57,1.48,0.0,0.24
bad8ee8d-54a3-4365-b631-a0cbef8abcaf.Kinect,9/4/2018,0.88,0.0,1.16,1.0,0.01,0.14,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0
c2721621-bf45-4c0d-bb88-8c6a3cd31ab3.Kinect,7/31/2018,0.78,0.27,1.11,0.64,0.53,0.16,0.0,0.0,0.0,0.01,0.09,0.01,0.02,0.0,0.0
647aed88-be2d-4d04-b465-9d2645713b4b.Kinect,8/14/2018,0.07,0.0,1.36,0.48,0.01,0.07,0.0,0.0,0.0,0.02,0.0,0.0,1.49,1.11,1.21
a0eaba49-b61b-4817-abaa-aa654f4da4af.Kinect,7/20/2018,0.65,0.0,1.5,1.43,0.58,1.32,0.01,0.26,0.01,0.0,0.04,0.0,0.0,0.02,0.02
95b906cd-9953-4539-b2b9-8869261e39f4.Kinect,10/19/2018,0.68,0.01,1.49,1.41,0.03,0.16,0.51,0.01,0.22,0.01,0.0,0.01,0.0,0.0,0.0
e39aeb60-be68-4140-8811-6d58278e66b1.Kinect,6/5/2018,0.61,0.08,1.2,1.0,0.49,0.24,0.0,1.07,0.0,0.0,0.01,0.0,0.0,0.0,0.0
79337de6-b918-45dc-a05a-28c594122d19.Kinect,8/11/2018,0.71,0.02,0.93,1.29,0.22,0.16,0.0,0.0,0.12,0.0,0.01,0.0,0.59,0.01,0.01
aa15f210-b8e0-4be0-a2c8-7385046d0615.Kinect,9/26/2018,0.34,0.0,1.07,1.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,1.06,0.0,0.82,0.49
9648b88f-d031-400b-8d31-7e4f92454fd2.Kinect,8/25/2018,0.4,0.01,1.09,0.12,0.0,0.42,0.0,0.0,0.02,0.01,0.0,0.01,1.5,0.0,0.36
647ffd6c-e4ec-4c60-9119-a599fa6caefe.Kinect,6/20/2018,0.5,0.0,0.82,0.67,0.0,0.04,0.06,0.96,0.0,0.0,0.96,0.0,0.0,0.0,0.0
eada83c1-885c-4b90-a020-392b3914f916.Kinect,8/29/2018,0.69,0.0,1.47,1.49,0.01,0.07,0.33,0.07,0.0,0.0,0.4,0.01,0.01,0.0,0.01
a9ef0b04-391a-4550-9697-40accad19429.Kinect,8/25/2018,0.07,0.0,1.02,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.03,1.36,1.5,0.2,1.28
b7a5d723-2db1-495d-88db-8b99fa360ef0.Kinect,9/4/2018,0.75,0.0,1.49,1.48,0.0,0.08,0.01,0.01,0.0,0.0,0.48,0.03,0.0,0.0,0.0
f92e1d79-edd3-4569-af32-43a0bf11d255.Kinect,6/19/2018,0.81,0.0,1.5,1.49,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.01
76c02fa7-ad1b-45c9-96b2-25a1f106e9dd.Kinect,7/25/2018,0.76,0.9,1.03,0.67,0.53,0.12,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0
85d864d8-d85f-46e6-ad9b-8b59e27e87fe.Kinect,9/26/2018,0.01,0.11,0.75,1.24,1.35,1.05,1.39,1.23,0.0,0.0,1.1,0.0,0.0,0.02,0.0
60ccb803-a949-403b-80d0-80f8aa36c60d.Kinect,8/25/2018,0.08,0.0,0.99,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.36,1.5,0.21,1.3
0e4c9235-ef26-47fd-883d-ccc277836c29.Kinect,10/19/2018,0.76,0.13,1.45,1.5,0.02,0.0,0.01,0.0,0.0,0.37,0.16,0.0,0.0,0.01,0.0
68386910-0ef2-4e8f-8caf-fa673056a1a6.Kinect,7/26/2018,0.84,0.0,0.12,0.18,0.18,1.22,0.01,0.04,0.0,0.0,0.01,0.05,0.0,0.0,0.0
39bb1e20-9a63-454d-95c8-90772a8dbd8b.Kinect,8/5/2018,0.36,1.31,1.5,1.5,0.0,0.61,1.04,0.0,0.07,0.37,0.12,0.0,0.01,0.01,0.0
68386910-0ef2-4e8f-8caf-fa673056a1a6.Kinect,7/26/2018,0.82,0.0,0.12,0.17,0.19,1.24,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0
85e078de-ec34-45ad-9ff3-3e9574b4c79a.Kinect,7/24/2018,0.69,1.26,0.0,0.01,0.2,0.95,0.48,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0
20ffd153-96cb-4f0c-b584-0317c893108a.Kinect,8/27/2018,0.66,0.62,1.49,1.5,0.0,0.13,0.39,0.0,0.01,0.0,0.26,0.0,0.0,0.0,0.0
e374c636-9cd1-41bf-a1c1-4678b2dfa26f.Kinect,8/13/2018,0.47,0.03,0.66,1.06,0.01,0.69,0.47,1.25,0.0,0.0,0.02,0.0,0.01,0.0,0.01
8a51b022-f341-4ab0-9084-e540e6e1abf1.Kinect,7/26/2018,0.76,0.0,1.47,1.43,0.04,0.39,0.11,0.06,0.0,0.0,0.0,0.01,0.0,0.01,0.01
6b2bceb7-b534-4adc-bde6-f9c01c106f6a.Kinect,5/31/2018,0.74,0.0,0.1,1.08,0.39,1.15,0.01,0.01,0.1,0.08,0.0,0.0,0.01,0.0,0.01
68d2c921-bed7-4fae-b51c-7fa5578f27c7.Kinect,9/11/2018,0.45,1.5,1.11,0.62,0.47,0.94,0.01,0.0,1.01,0.03,0.0,0.0,0.01,0.0,0.0
5857090d-d6b0-4e93-8027-f9d2d9882bd9.Kinect,8/23/2018,0.79,0.0,1.38,1.25,0.0,0.42,0.0,0.0,0.0,0.0,0.11,0.16,0.0,0.01,0.01
b73014cf-baa4-4cfa-948c-299ab000bcca.Kinect,8/23/2018,0.4,0.18,1.49,1.49,0.72,0.62,0.0,0.01,0.0,0.0,0.0,1.16,0.0,0.0,0.29
dd5501ad-2bfc-466f-bccd-bfd2de8b0811.Kinect,7/16/2018,0.56,1.27,1.18,1.05,1.49,1.17,0.23,0.01,0.0,0.03,0.03,0.0,0.0,0.0,0.0
a50b353d-7848-463d-81b8-e9d2e6bd6c82.Kinect,8/8/2018,0.84,0.0,0.74,1.11,0.5,0.05,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0
4f2cd7ce-c904-41fe-8c1d-92990f24704a.Kinect,7/26/2018,0.72,0.59,1.02,0.86,0.86,0.97,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0
bbbb66e9-7f54-4140-b0e3-30b4fa3b7b05.Kinect,8/25/2018,0.07,0.01,1.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,1.36,1.5,0.22,1.31
eaeb1d50-631c-49b8-a1e8-9897c452f622.Kinect,6/1/2018,0.22,0.0,1.1,1.18,1.12,1.26,0.7,1.5,0.25,0.4,0.44,0.01,0.02,0.0,0.0
c33b30a0-8c48-4362-b422-30240363a88c.Kinect,9/7/2018,0.48,1.49,1.37,1.46,0.49,0.05,0.0,0.92,0.31,0.01,0.0,0.01,0.01,0.01,0.01
9cb54259-606e-47f5-96d5-ed4cf6f3b029.Kinect,9/9/2018,0.57,0.02,0.86,0.57,0.02,0.34,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.01,0.01
150360a5-8bbf-475b-9322-8bc714b7fc70.Kinect,7/20/2018,0.85,0.0,1.04,1.03,0.04,0.01,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0
cce2f79a-098b-442c-ac1f-9efe1396cd96.Kinect,8/20/2018,0.7,1.02,1.45,1.43,0.29,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
020f9814-9ef5-4a48-a6a6-25de340fc8f5.Kinect,10/16/2018,0.8,0.63,1.4,1.29,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
df1fc394-c86e-4fc3-817e-1f77d3f46f4e.Kinect,8/29/2018,0.7,0.0,1.48,1.5,0.0,0.01,0.0,0.05,0.0,0.0,0.7,0.0,0.0,0.0,0.0
3cdd1bc8-d370-429a-abe4-264086f6b134.Kinect,7/18/2018,0.87,0.0,0.0,0.0,0.36,1.19,0.03,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0
4e081322-3e1b-40d3-8ace-0d1864b9119d.Kinect,6/19/2018,0.26,0.83,0.78,1.08,0.77,1.31,0.01,0.0,1.0,0.09,1.06,0.0,0.0,0.0,0.0
9f51fb97-9618-4f94-8e5a-b8b992757a99.Kinect,5/31/2018,0.64,1.08,1.16,1.39,0.64,0.77,0.0,0.03,0.0,0.01,0.12,0.0,0.0,0.0,0.0
449fbc8f-3445-4de8-bfdf-8ba2a5e876d2.Kinect,5/30/2018,0.86,0.0,0.45,1.19,0.08,0.25,0.01,0.0,0.03,0.0,0.02,0.01,0.0,0.02,0.0
31eb12bf-afc5-4699-97af-e11ec80dba6a.Kinect,5/9/2018,0.84,0.04,1.5,1.5,0.05,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.01
7c162cd2-5013-4f5c-8da3-3ff1d7d81b9d.Kinect,6/19/2018,0.75,0.0,1.38,1.28,0.01,0.0,0.22,0.0,0.0,0.01,0.32,0.01,0.01,0.02,0.01
218bac40-efcc-4638-897e-243e8f530d9d.Kinect,9/11/2018,0.8,0.02,1.26,0.93,0.01,0.23,0.25,0.0,0.02,0.01,0.01,0.0,0.0,0.0,0.0
83ab39f8-6f2d-4daa-8263-5fe7cbc6cdc8.Kinect,6/11/2018,0.36,0.01,1.17,1.05,0.0,0.0,1.01,1.13,0.0,0.47,0.14,0.0,0.0,0.0,0.0
6210cc6d-575d-4e9f-bab1-4fe1da2a30a3.Kinect,7/30/2018,0.39,1.5,1.42,1.39,0.0,0.0,1.07,0.1,0.01,0.0,0.0,0.0,0.41,0.01,0.0
bf4c1ed6-a92a-41c2-833b-db4ad384aa13.Kinect,9/26/2018,0.74,0.01,0.65,0.56,1.13,1.26,0.01,0.35,0.01,0.0,0.0,0.0,0.0,0.0,0.02
60822e21-eaaa-4bf1-a54a-05f8b9621e75.Kinect,9/9/2018,0.71,0.0,1.04,1.08,0.1,1.36,0.01,0.08,0.01,0.01,0.0,0.01,0.0,0.02,0.0
265f48bb-39e0-4360-9573-c438e686a6c8.Kinect,9/26/2018,0.85,0.01,1.36,1.37,0.0,0.04,0.0,0.03,0.0,0.0,0.0,0.01,0.01,0.0,0.0
366dd083-c180-4d07-ae28-a184aa4c0a9b.Kinect,8/23/2018,0.79,0.49,1.49,1.5,0.01,0.11,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.0
873f4146-7fa4-42a4-b6fd-248d90997fa4.Kinect,7/24/2018,0.77,0.02,0.62,1.1,0.0,0.01,0.59,0.0,0.0,0.0,0.0,0.03,0.03,0.01,0.0
2e8ea1de-4eca-4f54-95e0-9366bbb4666c.Kinect,7/27/2018,0.37,0.05,0.14,0.0,0.33,1.13,0.0,1.26,0.01,0.0,0.02,1.06,0.0,0.0,0.02
424263ca-8022-4bc9-91fd-e74c83a3ee03.Kinect,8/23/2018,0.34,0.01,1.17,1.02,0.23,0.07,0.02,1.47,0.0,0.01,0.09,1.07,0.02,0.0,0.0
3cfbdac3-c214-46cf-884f-71388b032c5e.Kinect,8/25/2018,0.41,0.02,1.09,0.13,0.01,0.41,0.0,0.0,0.02,0.0,0.01,0.03,1.5,0.01,0.36
3cfbdac3-c214-46cf-884f-71388b032c5e.Kinect,8/25/2018,0.4,0.0,1.08,0.13,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.01,1.48,0.01,0.35
abdab96d-d5b7-4a0e-a8c2-fbb1b335d33c.Kinect,9/25/2018,0.5,0.0,0.16,0.0,0.33,0.66,1.01,0.02,0.0,0.0,1.05,0.02,0.0,0.01,0.0
efb32c0c-ffc2-48ed-a2e6-9ca83da3a5ac.Kinect,9/27/2018,0.61,0.11,1.5,1.49,0.01,0.04,1.17,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0
49f76fdc-cc9b-490c-90cf-e09f93d8ab0d.Kinect,6/19/2018,0.01,1.39,1.11,1.37,0.22,1.02,0.0,1.5,0.0,0.0,0.73,1.49,0.0,0.69,0.15
0bce2bb0-d3fd-4bfe-a4f2-7d319c8487b5.Kinect,8/27/2018,0.75,0.12,1.49,1.49,0.01,0.06,0.0,0.08,0.0,0.0,0.3,0.08,0.0,0.0,0.02
74c9b067-74df-4a16-8e38-3a599fcbbe10.Kinect,7/10/2018,0.76,0.83,1.26,1.22,0.18,0.07,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
11bbfa59-abaa-4845-a45a-e814536b427c.Kinect,7/11/2018,0.55,1.05,1.42,1.36,0.65,0.53,0.01,0.0,0.42,0.24,0.04,0.0,0.0,0.0,0.01
