AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore,ID
0.32,0.44,0.32,0.82,0.2,0.5,0.14,0.67,0.51,0.72,0.9,0.63,0.23,0.75,0.51,0.68,0.46,0.91,0.75,0.48,0.18,0.36,0.35,0.83,0.99,0.73,0.63,0.73,0.83,0.61,0.39,0.44,0.68,0.72,0.82,0.81,0.84,0.88,0.8,0.3,0.25,0.48,003115c4-bdb8-491c-b571-8fcebdecf8ed.Kinect
0.64,0.91,0.82,0.57,0.45,0.67,0.59,0.71,0.54,0.44,0.23,0.63,0.57,0.26,0.66,0.74,0.92,0.24,0.26,0.54,0.96,0.45,0.54,0.28,0.3,0.33,0.53,0.11,0.46,0.3,0.76,0.44,0.67,0.66,0.67,0.57,0.65,0.58,0.31,0.89,0.9,0.58,1801e02b-165d-4448-81c3-4060abf63fde.Kinect
0.69,0.5,0.45,0.46,0.76,0.29,0.98,0.26,0.61,0.43,0.51,0.77,0.41,0.38,0.29,0.25,0.52,0.5,0.4,0.86,0.51,0.57,0.33,0.59,0.59,0.5,0.55,0.88,0.9,0.35,0.75,0.47,0.85,0.67,0.64,0.55,0.65,0.58,0.51,0.3,0.26,0.29,f0a2c575-37c1-42e8-82d7-7e79fda5443b.Kinect
0.05,0.33,0.35,0.61,0.45,0.99,0.84,0.99,0.69,0.42,0.88,0.63,0.98,0.93,0.98,1.0,0.35,0.9,0.95,0.47,0.17,0.52,0.66,0.57,0.99,0.98,0.53,0.86,0.51,0.62,0.38,0.45,0.69,0.66,0.66,0.82,0.66,0.95,0.53,0.64,0.73,0.94,6a890952-dc19-4293-b5cd-4ca77e406917.Kinect
0.63,0.94,0.83,0.49,0.95,1.0,0.91,1.0,0.84,0.2,0.21,0.65,0.5,0.19,0.99,0.98,0.93,0.23,0.18,0.47,0.91,0.97,0.95,0.28,0.32,0.34,0.99,0.95,0.91,0.3,1.0,0.98,0.67,0.97,1.0,1.0,1.0,0.95,0.57,0.17,0.44,1.0,48d75aec-375c-4f65-b000-df817ed10a57.Kinect
0.94,0.28,0.26,0.35,0.55,0.17,0.17,0.32,0.5,0.97,0.51,0.63,0.95,0.48,0.18,0.33,0.29,0.5,0.49,0.68,0.18,0.34,0.25,0.3,0.33,0.31,0.96,0.66,0.94,0.55,0.39,0.52,0.68,0.66,0.64,0.55,0.65,0.59,0.48,0.27,0.28,0.12,3c5f07f6-0dc3-4b85-9732-6df4581b5afd.Kinect
0.4,0.81,0.59,0.35,0.86,0.17,0.45,0.2,0.93,0.5,0.36,0.65,0.71,0.33,0.18,0.19,0.83,0.36,0.34,0.47,0.74,0.5,0.59,0.3,0.3,0.33,0.53,0.46,0.46,0.29,0.85,0.44,0.67,0.69,0.72,0.55,0.66,0.58,0.46,0.16,0.15,0.23,9052fddd-09a0-4098-a33a-4a7de6ec47a7.Kinect
0.42,0.29,0.14,0.35,0.32,0.95,0.62,0.93,0.54,0.57,0.96,0.64,0.85,0.98,0.94,0.91,0.29,0.97,0.96,0.56,0.48,0.34,0.49,0.39,0.94,0.91,0.55,0.83,0.46,0.76,0.38,0.79,0.67,0.94,0.64,0.58,0.65,0.74,0.94,0.69,0.71,0.89,84953bcc-16dc-4a4c-9be3-458b593e31c5.Kinect
0.83,0.79,0.9,0.64,0.41,0.69,0.23,0.52,0.5,0.16,0.21,0.66,0.34,0.18,0.69,0.53,0.79,0.21,0.2,0.48,0.58,0.43,0.45,0.28,0.33,0.32,0.56,0.14,0.46,0.28,0.39,0.45,0.68,0.66,0.64,0.54,0.66,0.58,0.31,0.17,0.16,0.21,fed923af-f41e-42bc-8799-3a9f8a5f2129.Kinect
0.85,0.38,0.19,0.35,0.25,0.23,0.17,0.21,0.52,0.38,0.43,0.64,0.59,0.33,0.2,0.19,0.39,0.44,0.33,0.53,0.54,0.44,0.43,0.27,0.67,0.61,0.91,0.5,0.46,0.28,0.58,0.46,0.68,0.66,0.65,0.53,0.65,0.69,0.31,0.47,0.47,0.03,638476a8-f660-4798-b2aa-8327b93cb5b7.Kinect
