ID,Date,SCORE,ForwardHead,LeftArmFallForward,RightArmFallForward,LeftShoulderElevation,RightShoulderElevation,ExcessiveForwardLean,LeftAsymmetricalWeightShift,RightAsymmetricalWeightShift,LeftKneeMovesInward,RightKneeMovesInward,LeftKneeMovesOutward,RightKneeMovesOutward,LeftHeelRises,RightHeelRises,AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore
5a7b0bec-fdea-489a-a9d8-646a3b977109.Kinect,8/25/2018,0.09,0.0,1.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,1.35,1.49,0.21,1.3,0.07,0.28,0.26,0.35,0.19,0.54,0.28,0.59,0.51,0.83,0.81,0.72,0.73,0.9,0.52,0.59,0.28,0.81,0.92,0.47,0.43,0.54,0.67,0.67,0.85,0.99,0.53,0.45,0.53,0.93,0.38,0.56,0.67,0.66,0.64,0.89,0.65,0.9,0.32,0.32,0.32,0.48
ae47d791-9d61-4167-9198-82d36584b2b4.Kinect,9/10/2018,0.56,0.82,0.47,0.37,0.0,0.39,1.22,0.12,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.55,0.32,0.87,0.35,0.35,0.17,0.79,0.26,0.76,0.39,0.44,0.69,0.25,0.47,0.17,0.25,0.31,0.47,0.48,0.79,0.82,0.77,0.8,0.95,0.48,0.34,0.78,0.24,0.46,0.9,0.55,0.45,0.67,0.66,0.64,0.57,0.66,0.58,0.5,0.22,0.24,0.23
a9ef0b04-391a-4550-9697-40accad19429.Kinect,8/25/2018,0.07,0.01,1.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.37,1.49,0.2,1.32,0.07,0.3,0.27,0.35,0.19,0.53,0.28,0.58,0.51,0.82,0.8,0.72,0.76,0.91,0.55,0.61,0.28,0.83,0.89,0.47,0.45,0.52,0.67,0.67,0.84,0.98,0.53,0.47,0.52,0.93,0.38,0.57,0.67,0.66,0.64,0.89,0.65,0.9,0.31,0.31,0.34,0.47
455e0d23-2ad7-45ba-ae31-8c3714b06196.Kinect,8/23/2018,0.35,0.0,0.01,0.02,1.48,1.5,0.42,0.29,0.0,0.0,0.03,1.41,0.0,0.15,0.02,0.35,0.6,0.61,0.4,0.74,0.27,0.97,0.49,0.88,0.96,0.58,0.66,0.58,0.57,0.3,0.48,0.6,0.59,0.57,0.85,0.23,0.34,0.25,0.73,0.8,0.8,0.98,0.57,0.46,0.29,0.5,0.55,0.74,0.77,0.94,0.54,0.8,0.59,0.48,0.96,0.97,0.44
16205a4d-4a9d-47ed-9730-0f56d5aa414f.Kinect,7/18/2018,0.63,0.0,0.12,0.0,1.5,1.36,0.0,1.01,0.0,0.0,0.01,0.02,0.0,0.0,0.01,0.65,0.46,0.51,0.73,0.84,0.66,0.5,0.49,0.61,0.64,0.31,0.73,0.53,0.31,0.65,0.5,0.45,0.32,0.3,0.99,0.29,0.34,0.46,0.47,0.41,0.44,0.55,0.46,0.46,0.38,0.69,0.65,0.69,0.82,0.85,0.66,0.65,0.65,0.74,0.26,0.25,0.39
c86cbd71-962b-4885-96e3-a960bd1e89b9.Kinect,9/19/2018,0.7,0.0,1.13,1.16,0.64,1.06,0.0,0.02,0.0,0.07,0.36,0.0,0.0,0.0,0.0,0.7,0.85,0.09,0.76,0.99,0.46,0.97,0.72,0.82,0.38,0.78,0.78,0.92,0.67,0.46,0.73,0.88,0.77,0.68,0.48,0.73,0.34,0.25,0.7,1.0,0.88,0.56,0.44,0.46,0.44,0.39,0.93,0.97,0.68,0.95,0.87,0.65,0.58,0.31,0.91,0.91,0.81
b2022da4-3fec-4003-a0e1-8a2be748447f.Kinect,6/13/2018,0.51,0.13,1.28,1.17,0.02,0.15,0.0,0.0,0.01,0.0,0.0,1.49,1.17,0.09,0.03,0.51,0.68,0.09,0.96,0.77,0.73,0.32,0.42,0.52,0.93,0.88,0.63,0.61,0.73,0.72,0.42,0.69,0.86,0.75,0.47,0.7,0.43,0.26,0.68,0.84,0.84,0.89,0.92,0.46,0.68,0.38,0.46,0.68,0.75,0.64,0.56,0.65,0.58,0.61,0.83,0.67,0.56
d65b9519-85cd-49d2-8736-79262694db26.Kinect,10/3/2018,0.97,0.0,0.0,0.0,0.0,0.14,0.02,0.0,0.02,0.0,0.09,0.0,0.02,0.0,0.01,0.96,0.81,0.32,0.36,0.19,0.18,0.15,0.19,0.52,0.16,0.75,0.64,0.1,0.7,0.17,0.21,0.82,0.77,0.71,0.48,0.17,0.34,0.25,0.29,0.32,0.56,0.54,0.15,0.47,0.28,0.38,0.44,0.67,0.66,0.64,0.56,0.65,0.58,0.66,0.38,0.3,0.0
c2f40c54-498d-4358-87ca-ae663f7df024.Kinect,9/11/2018,0.75,0.01,1.5,1.39,0.02,0.0,0.41,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.78,0.73,0.86,0.35,0.94,0.85,0.91,0.82,0.52,0.16,0.21,0.64,0.1,0.19,0.86,0.82,0.75,0.22,0.18,0.49,0.17,0.86,0.83,0.81,0.47,0.56,0.54,0.23,0.46,0.29,0.38,0.92,0.97,0.66,0.67,0.58,0.65,0.6,0.45,0.83,0.86,0.74
f729bd09-319a-4872-8c5a-de275eb8aec9.Kinect,7/11/2018,0.1,1.12,1.23,0.27,1.09,1.5,0.09,1.5,0.0,0.0,0.0,0.08,0.01,0.46,0.0,0.08,0.42,0.48,1.0,0.85,0.8,0.73,0.25,0.97,0.71,0.8,0.84,0.81,0.85,0.81,0.25,0.39,0.8,0.88,0.95,0.89,0.66,0.39,0.72,0.81,0.88,0.78,0.76,0.98,0.58,1.0,0.44,0.88,0.66,0.65,0.53,0.86,0.89,0.32,0.33,0.36,0.91
