ID,Date,SCORE,ForwardHead,LeftArmFallForward,RightArmFallForward,LeftShoulderElevation,RightShoulderElevation,ExcessiveForwardLean,LeftAsymmetricalWeightShift,RightAsymmetricalWeightShift,LeftKneeMovesInward,RightKneeMovesInward,LeftKneeMovesOutward,RightKneeMovesOutward,LeftHeelRises,RightHeelRises,AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore
b7ff5265-b23a-4142-863e-c35b2b45494e.Kinect,8/27/2018,0.496481058,0.37,0.77,1.06,0.68,1.35,0.17,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.496481058,0.548541368,0.699186992,0.363940698,0.704925873,0.163079866,0.884265901,0.350071736,0.521759923,0.408417025,0.643711143,0.932568149,0.681013869,0.677666188,0.163079866,0.350071736,0.548541368,0.643711143,0.677666188,0.471066475,0.740793879,0.580583453,0.582974653,0.729794357,0.512195122,0.465805835,0.737446198,0.37446198,0.459110473,0.316594931,0.378287901,0.504065041,0.670970827,0.656623625,0.642276423,0.552845528,0.648971784,0.578192253,0.308943089,0.394069823,0.297465328,0.148732664
f0defe1c-972c-4862-9746-df716077832e.Kinect,6/6/2018,0.080411828,0.28,1.06,1.4,1.38,1.08,1.5,1.5,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.080411828,0.971783835,0.983261597,0.790530846,0.996652319,0.504065041,0.866092779,0.290769967,0.981826877,0.340985175,0.602582496,0.635581062,0.37207078,0.742228599,0.504065041,0.290769967,0.971783835,0.602582496,0.742228599,0.471066475,0.577714012,0.824964132,0.912482066,0.992826399,0.554758489,0.631276901,0.62458154,0.361549498,0.459110473,0.37637494,0.913438546,0.971783835,0.966044955,0.779531325,0.642276423,0.552845528,0.648971784,0.578192253,0.629842181,0.788617886,0.808225729,0.928263989
cc7adf06-dcda-4187-ab80-16f073e76c8b.Kinect,5/31/2018,0.879839511,0.0,0.14,1.08,0.05,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.879839511,0.279770445,0.949306552,0.346724055,0.204208513,0.379244381,0.144906743,0.371592539,0.521759923,0.156384505,0.56432329,0.635581062,0.232902917,0.598278336,0.379244381,0.371592539,0.279770445,0.56432329,0.598278336,0.510282162,0.164992826,0.589191774,0.245815399,0.286465806,0.339072214,0.470109995,0.544715447,0.140602582,0.492587279,0.845050215,0.378287901,0.441415591,0.670970827,0.805356289,0.75131516,0.570062171,0.648971784,0.629842181,0.621712099,0.148732664,0.151123864,0.055954089
2dd37697-85a8-4daa-aa3d-7d9225faeebb.Kinect,7/20/2018,0.554598151,0.0,0.02,0.16,1.22,1.17,0.0,0.12,0.0,0.29,1.4,0.0,0.0,0.0,0.0,0.554598151,0.49976088,0.178383549,0.369201339,0.916307987,0.818747011,0.892395983,0.87374462,0.521759923,0.8723099,0.969870875,0.635581062,0.978479197,0.866571019,0.818747011,0.87374462,0.49976088,0.969870875,0.866571019,0.746532759,0.270205643,0.734098517,0.649928264,0.286465806,0.603060736,0.653275945,0.8770923,0.895743663,0.742228599,0.724055476,0.390722143,0.441415591,0.670970827,0.656623625,0.642276423,0.552845528,0.648971784,0.578192253,0.308943089,0.800095648,0.807747489,0.789096126
1cf45dd6-821f-444d-a102-5e94dca748a8.Kinect,7/18/2018,0.793088735,0.0,0.06,0.01,0.08,0.2,0.04,0.14,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.793088735,0.727403156,0.788617886,0.346724055,0.380679101,0.43711143,0.266857963,0.278813965,0.521759923,0.239598278,0.270205643,0.635581062,0.417981827,0.209947394,0.43711143,0.278813965,0.727403156,0.270205643,0.209947394,0.784313725,0.164992826,0.633189861,0.282639885,0.700621712,0.589670014,0.62362506,0.544715447,0.275466284,0.459110473,0.447632712,0.378287901,0.441415591,0.670970827,0.835963654,0.642276423,0.552845528,0.648971784,0.578192253,0.861788618,0.276422764,0.398373984,0.108560497
00e4ce80-43fb-46a4-a999-230a2d817ef9.Kinect,8/14/2018,0.684458089,0.19,1.5,1.5,1.3,1.01,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.684458089,0.354854137,0.476327116,0.547584888,0.18890483,0.461501674,0.140124342,0.574366332,0.521759923,0.414634146,0.210425634,0.635581062,0.661884266,0.178861789,0.461501674,0.574366332,0.354854137,0.210425634,0.178861789,0.471066475,0.25011956,0.861310378,0.835485414,0.286465806,0.384505022,0.345289335,0.544715447,0.971783835,0.459110473,0.818747011,0.925394548,0.441415591,0.670970827,0.985174558,0.955045433,0.881396461,0.963175514,0.871831659,0.983261597,0.554758489,0.582496413,0.807269249
4a87b8cc-1039-4a86-b061-29202e48bfb2.Kinect,6/19/2018,0.844800739,0.0,1.04,0.56,0.0,0.0,0.2,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.844800739,0.771879484,0.713055954,0.346724055,0.18890483,0.721186035,0.140124342,0.62362506,0.521759923,0.156384505,0.210425634,0.635581062,0.095169775,0.178861789,0.721186035,0.62362506,0.771879484,0.210425634,0.178861789,0.471066475,0.164992826,0.339072214,0.245815399,0.701578192,0.306551889,0.321377331,0.87374462,0.213295074,0.459110473,0.284552846,0.378287901,0.441415591,0.670970827,0.656623625,0.735054998,0.568627451,0.68579627,0.646580583,0.308943089,0.148732664,0.151123864,0.205643233
3edb540a-780b-44b8-9f71-f7c24206e1ef.Kinect,7/17/2018,0.517832773,0.0,0.05,0.0,0.0,1.05,0.48,0.0,1.09,0.27,0.17,0.0,0.0,0.0,0.0,0.517832773,0.764705882,0.589670014,0.817312291,0.881396461,0.211860354,0.75274988,0.194165471,0.637972262,0.269727403,0.268770923,0.981348637,0.256336681,0.232902917,0.211860354,0.194165471,0.764705882,0.268770923,0.232902917,0.989478718,0.419416547,0.508369201,0.280248685,0.808225729,0.306551889,0.321377331,0.802486848,0.587278814,0.826877092,0.284552846,0.705882353,0.441415591,0.670970827,0.656623625,0.986609278,0.848876136,0.880918221,0.578192253,0.740315638,0.423720708,0.56384505,0.586322334
d6fbcb4c-0c8f-411b-bfa4-ae0ae9256fa6.Kinect,5/14/2018,0.778062753,0.0,0.61,0.44,0.02,0.0,0.0,0.68,0.0,0.0,0.09,0.06,0.0,0.0,0.0,0.778062753,0.402678144,0.471544715,0.346724055,0.442372071,0.163079866,0.140124342,0.194165471,0.744619799,0.49832616,0.556671449,0.635581062,0.62458154,0.485891918,0.163079866,0.194165471,0.402678144,0.556671449,0.485891918,0.766140603,0.164992826,0.615494978,0.286944046,0.583931133,0.670970827,0.81013869,0.915829747,0.180774749,0.8723099,0.557627929,0.839789574,0.441415591,0.670970827,0.656623625,0.858440937,0.776661884,0.648971784,0.704447633,0.697752272,0.173601148,0.193208991,0.167862267
147db2e3-78ab-4f91-9f68-554b1bc27000.Kinect,5/10/2018,0.811192663,0.0,0.0,0.02,0.18,1.24,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.811192663,0.279770445,0.392156863,0.383548541,0.201817312,0.163079866,0.582974653,0.238641798,0.521759923,0.156384505,0.274988044,0.635581062,0.293161167,0.238163558,0.163079866,0.238641798,0.279770445,0.274988044,0.238163558,0.858919177,0.449545672,0.339072214,0.245815399,0.514108082,0.398373984,0.321377331,0.56288857,0.423242468,0.511238642,0.616929699,0.546628407,0.441415591,0.670970827,0.656623625,0.642276423,0.552845528,0.648971784,0.578192253,0.363462458,0.18890483,0.233381157,0.018173123
