Feature,Importance
No_12_NASM_Deviation,0.10281735216050182
No_10_NASM_Deviation,0.09496489089136718
No_11_NASM_Deviation,0.07657569387868474
No_17_NASM_Deviation,0.07511151491737789
No_13_Angle_Deviation,0.06406847736713085
No_9_NASM_Deviation,0.04324598997964326
No_8_Angle_Deviation,0.040224988217215124
No_10_Angle_Deviation,0.0318529753738183
No_12_Angle_Deviation,0.031299861222829795
No_5_Angle_Deviation,0.02986883335462683
No_3_Angle_Deviation,0.029483627952417345
No_6_Angle_Deviation,0.029170481679886114
No_11_Angle_Deviation,0.028660016275577592
No_7_NASM_Deviation,0.027246725807815585
No_2_Time_Deviation,0.025292452168123227
No_8_NASM_Deviation,0.02254405480810085
No_4_Angle_Deviation,0.022445926581886096
No_1_Angle_Deviation,0.021212755081340084
No_1_Time_Deviation,0.020705716100033175
No_2_Angle_Deviation,0.020087247104342988
No_6_NASM_Deviation,0.018191126151348738
No_7_Angle_Deviation,0.018135403217760183
No_25_NASM_Deviation,0.015884291918611782
No_9_Angle_Deviation,0.01530848985672563
No_14_NASM_Deviation,0.012679576740449283
No_16_NASM_Deviation,0.011811644861873125
No_24_NASM_Deviation,0.011208564078293057
No_18_NASM_Deviation,0.009910558523088423
No_13_NASM_Deviation,0.00989381577122814
No_22_NASM_Deviation,0.008984813693625294
No_15_NASM_Deviation,0.008390223071464352
No_23_NASM_Deviation,0.006341908545241725
No_21_NASM_Deviation,0.0057046363377937755
No_19_NASM_Deviation,0.005490990283969195
No_20_NASM_Deviation,0.0051843760258084995
