AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore,ID,Cluster,Silhouette,PC1,PC2
0.323666538,0.538020086,0.815877571,0.346724055,0.382113821,0.302247728,0.947871832,0.275944524,0.521759923,0.457197513,0.210425634,0.835007174,0.451936872,0.178861789,0.302247728,0.275944524,0.538020086,0.210425634,0.178861789,0.778574845,0.214729794,0.428503109,0.300813008,0.432329029,0.730750837,0.606408417,0.829746533,0.838833094,0.459110473,0.652797704,0.711142994,0.587757054,0.833094213,0.656623625,0.642276423,0.552845528,0.648971784,0.578192253,0.56001913,0.821616451,0.818747011,0.209947394,0003cdcc-86ed-494a-a3b5-90d09e96e06b.Kinect,0,0.1656051096950111,-1.7968753317804058,0.6392735006358519
0.323698593,0.443806791,0.306551889,0.823529412,0.18890483,0.49736968,0.140124342,0.664275466,0.521759923,0.729316117,0.912482066,0.635581062,0.222381636,0.765184122,0.49736968,0.664275466,0.443806791,0.912482066,0.765184122,0.493543759,0.164992826,0.370636059,0.361071258,0.835007174,0.983261597,0.733620277,0.62505978,0.727881396,0.841702535,0.619320899,0.378287901,0.441415591,0.670970827,0.721186035,0.826398852,0.805356289,0.848876136,0.889048302,0.816834051,0.307986609,0.2482066,0.457197513,003115c4-bdb8-491c-b571-8fcebdecf8ed.Kinect,1,0.1681188079601939,3.5251855342133176,-1.111150675391879
0.84832711,0.603538977,0.37398374,0.346724055,0.590626495,0.341941655,0.298900048,0.276901004,0.62362506,0.658058345,0.244380679,0.635581062,0.957914873,0.243424199,0.341941655,0.276901004,0.603538977,0.244380679,0.243424199,0.709230033,0.355332377,0.339072214,0.245815399,0.286465806,0.306551889,0.321377331,0.544715447,0.68723099,0.698230512,0.947393592,0.378287901,0.733142037,0.670970827,0.656623625,0.642276423,0.69057867,0.648971784,0.578192253,0.555714969,0.218555715,0.235294118,0.107125777,00316bfb-ed43-489f-a55b-11c7f01c852d.Kinect,0,0.1863932910596379,-1.9519131439483537,-1.8164368909774982
0.351332422,0.484935438,0.62362506,0.380200861,0.975131516,0.509325681,0.888570062,0.363462458,0.847441416,0.237207078,0.723577236,0.846484935,0.431850789,0.795313247,0.509325681,0.363462458,0.484935438,0.723577236,0.795313247,0.471066475,0.609756098,0.789096126,0.899091344,0.970827355,0.676231468,0.701099952,0.725011956,0.453371593,0.459110473,0.407938785,0.536585366,0.934002869,0.953610713,0.656623625,0.642276423,0.552845528,0.648971784,0.578192253,0.744619799,0.458153993,0.432807269,0.612625538,00607608-6f2f-459b-a69d-e14067489459.Kinect,0,0.0282419453509482,0.2068631602553953,3.0118049212078923
0.627181016,0.860832138,0.657580105,0.745576279,0.552845528,0.3758967,0.483022477,0.388330942,0.521759923,0.387852702,0.210425634,0.635581062,0.095169775,0.37637494,0.3758967,0.388330942,0.860832138,0.210425634,0.37637494,0.471066475,0.880439981,0.479196557,0.534672406,0.650884744,0.457197513,0.417981827,0.544715447,0.121472979,0.459110473,0.483500717,0.43998087,0.441415591,0.670970827,0.656623625,0.642276423,0.552845528,0.648971784,0.578192253,0.308943089,0.805356289,0.774270684,0.153515065,007396ec-3463-4a05-915c-02244ff8d3de.Kinect,0,0.2461624318354872,-2.8933455906694907,-0.6961996879074364
0.699399897,0.449067432,0.50310856,0.717838355,0.74796748,0.163079866,0.744141559,0.236250598,0.93830703,0.156384505,0.210425634,0.926829268,0.94021999,0.178861789,0.163079866,0.236250598,0.449067432,0.210425634,0.178861789,0.471066475,0.379244381,0.880439981,0.805834529,0.844093735,0.520325203,0.461023434,0.774748924,0.836441894,0.461501674,0.970349115,0.483022477,0.525107604,0.897656624,0.656623625,0.642276423,0.552845528,0.648971784,0.578192253,0.308943089,0.510282162,0.534194165,0.414155906,0079f495-1290-47cb-b408-e669c2a27706.Kinect,0,0.1793688900515074,-3.0209133023290113,2.1001011736668422
0.093201755,0.503586801,0.966044955,0.644189383,0.958871353,0.842180775,0.930176949,0.886657102,0.896700143,0.406982305,0.658536585,0.635581062,0.582496413,0.81109517,0.842180775,0.886657102,0.503586801,0.658536585,0.81109517,0.941654711,0.455762793,0.971305595,0.960306074,0.991869919,0.754662841,0.777618364,0.544715447,0.93830703,0.481587757,0.802008608,0.99904352,0.759445242,0.716403635,0.746054519,0.959827834,0.844093735,0.888091822,0.792443807,0.844093735,0.580105213,0.609756098,0.986609278,007ed623-a50d-47fc-941c-2e5868f8b183.Kinect,1,0.1190063268412908,3.2208274514970925,4.840822314340698
0.78453967,0.797704448,0.299378288,0.792443807,0.392635103,0.785270206,0.339072214,0.766140603,0.521759923,0.156384505,0.414634146,0.635581062,0.095169775,0.275466284,0.785270206,0.766140603,0.797704448,0.414634146,0.275466284,0.471066475,0.713534194,0.385461502,0.275466284,0.286465806,0.582496413,0.321377331,0.544715447,0.092778575,0.819703491,0.284552846,0.378287901,0.441415591,0.670970827,0.656623625,0.642276423,0.552845528,0.648971784,0.578192253,0.324246772,0.807269249,0.829268293,0.451936872,008acb13-1282-4f19-98bf-2abb7b32b383.Kinect,0,0.1599172691171896,-1.1039631020898566,-2.4220929509568316
0.495761253,0.883787661,0.955045433,0.408895265,0.87804878,0.296987088,0.954088953,0.194165471,0.964131994,0.733142037,0.453849833,0.737924438,0.598756576,0.383070301,0.296987088,0.194165471,0.883787661,0.453849833,0.383070301,0.977044476,0.853658537,0.843615495,0.983739837,0.68770923,0.306551889,0.321377331,0.544715447,0.30989957,0.754662841,0.44045911,0.378287901,0.473935916,0.988043998,0.757532281,0.905308465,0.823051172,0.648971784,0.578192253,0.983739837,0.62697274,0.431850789,0.815877571,00cf2e7d-ea4e-4cf6-9d6f-592a55106d7a.Kinect,0,0.1292808946223816,-2.3816816052892964,4.46834740644366
0.839869548,0.279770445,0.591582975,0.346724055,0.596843615,0.243424199,0.517934003,0.194165471,0.710186514,0.156384505,0.594930655,0.635581062,0.233859397,0.545671927,0.243424199,0.194165471,0.279770445,0.594930655,0.545671927,0.471066475,0.164992826,0.339072214,0.245815399,0.431372549,0.306551889,0.37302726,0.745576279,0.69010043,0.459110473,0.382113821,0.572931612,0.441415591,0.670970827,0.656623625,0.642276423,0.552845528,0.648971784,0.578192253,0.308943089,0.528455285,0.556193209,0.024390244,00d10cc8-0138-40f7-a213-2699e16e8669.Kinect,0,0.1799515955325055,-1.718756333755458,-1.9751535666431683
