AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore
0.653711027,0.3610712578,0.5619320899,0.3467240555,0.3371592539,0.2596843615,0.2046867527,0.1941654711,0.5284552846,0.6164514586,0.293639407,0.6355810617,0.9163079866,0.3151602104,0.2596843615,0.1941654711,0.3610712578,0.293639407,0.3151602104,0.6566236251,0.1649928264,0.8517455763,0.8651362984,0.2864658058,0.306551889,0.3213773314,0.6996652319,0.4677187948,0.4591104735,0.2845528455,0.3782879005,0.4414155906,0.6709708274,0.6566236251,0.6422764228,0.5528455285,0.6489717838,0.5781922525,0.3806791009,0.256336681,0.2644667623,0.1109516978
0.8666667784,0.2797704448,0.8680057389,0.3467240555,0.1889048302,0.3318986131,0.1425155428,0.456241033,0.5217599235,0.5112386418,0.7881396461,0.6355810617,0.1602104256,0.8522238164,0.3318986131,0.456241033,0.2797704448,0.7881396461,0.8522238164,0.4710664754,0.1649928264,0.3433763749,0.2458153993,0.2864658058,0.481109517,0.4868483979,0.5447154472,0.09277857484,0.9536107126,0.9454806313,0.4992826399,0.4414155906,0.6709708274,0.9120038259,0.7331420373,0.5987565758,0.6489717838,0.5781922525,0.7943567671,0.1487326638,0.1511238642,0.1769488283
0.9007646446,0.2797704448,0.1037780966,0.3467240555,0.2257293161,0.5236728838,0.8426590148,0.8383548541,0.5217599235,0.7460545194,0.7465327594,0.6355810617,0.1358201817,0.6456241033,0.5236728838,0.8383548541,0.2797704448,0.7465327594,0.6456241033,0.4925872788,0.3285509326,0.3390722143,0.2458153993,0.2864658058,0.6226685796,0.6145384983,0.5447154472,0.09277857484,0.956001913,0.5117168819,0.4705882353,0.4414155906,0.681492109,0.6566236251,0.6422764228,0.5724533716,0.6489717838,0.5781922525,0.3089430894,0.1487326638,0.1511238642,0.31229077
0.9729044358,0.2797704448,0.6260162602,0.512195122,0.1889048302,0.1630798661,0.1401243424,0.1941654711,0.5217599235,0.156384505,0.2104256337,0.6355810617,0.09516977523,0.1788617886,0.1630798661,0.1941654711,0.2797704448,0.2104256337,0.1788617886,0.4710664754,0.3505499761,0.3390722143,0.2458153993,0.2864658058,0.306551889,0.3213773314,0.5447154472,0.18747011,0.4591104735,0.2845528455,0.3782879005,0.4414155906,0.6709708274,0.6566236251,0.6422764228,0.5528455285,0.6489717838,0.5781922525,0.3089430894,0.3524629364,0.1975131516,0.008608321377
0.7218370223,0.2797704448,0.09230033477,0.3467240555,0.6341463415,0.6982305117,0.5853658537,0.7972262076,0.5217599235,0.156384505,0.2104256337,0.6355810617,0.9464371114,0.1788617886,0.6982305117,0.7972262076,0.2797704448,0.2104256337,0.1788617886,0.8842659015,0.3041606887,0.7173601148,0.5906264945,0.2864658058,0.306551889,0.3213773314,0.5447154472,0.5571496891,0.8230511717,0.7082735533,0.3782879005,0.4414155906,0.7144906743,0.6566236251,0.8397895744,0.7728359637,0.6489717838,0.5781922525,0.3089430894,0.1487326638,0.1511238642,0.4983261597
0.05072562048,0.8474414156,0.4595887135,0.49976088,0.6566236251,1.0,0.8522238164,0.9971305595,0.5217599235,0.6795791487,0.8517455763,0.681492109,0.3519846963,0.7905308465,1.0,0.9971305595,0.8474414156,0.8517455763,0.7905308465,0.4710664754,0.3223338116,0.4026781444,0.868962219,0.9521759923,0.6776661884,0.8641798183,1.0,1.0,0.593974175,0.8101386896,0.9990435198,0.7670970827,0.8909612626,1.0,1.0,1.0,1.0,1.0,0.9985652798,0.8259206121,0.8660927786,0.9995217599
0.652692649,0.9282639885,0.6121472979,0.6590148254,0.7235772358,0.4227642276,0.7345767575,0.2945958871,0.862266858,0.1850789096,0.2104256337,0.6355810617,0.7929220469,0.2558584409,0.4227642276,0.2945958871,0.9282639885,0.2104256337,0.2558584409,0.4710664754,1.0,0.4380679101,0.2458153993,0.6073648972,0.306551889,0.3213773314,0.5447154472,0.7450980392,0.4591104735,0.4983261597,0.7886178862,0.931133429,0.9646102343,0.6566236251,0.6422764228,0.5528455285,0.6489717838,0.5781922525,0.3089430894,0.9048302248,0.9239598278,0.6336681014
0.1736794454,0.8335724534,0.9923481588,0.6671449067,0.9536107126,0.2725968436,0.9880439981,0.1941654711,0.5805834529,0.156384505,0.2104256337,0.975131516,0.3481587757,0.1788617886,0.2725968436,0.1941654711,0.8335724534,0.2104256337,0.1788617886,0.4710664754,0.9708273553,0.8962219034,0.9383070301,0.8809182209,0.7207077953,0.8115734099,0.6131037781,0.1142993783,0.8421807747,0.2845528455,0.8761358202,0.9885222382,0.9918699187,0.6566236251,0.6422764228,0.5581061693,0.6489717838,0.6269727403,0.3089430894,0.1487326638,0.1511238642,0.9320899091
0.9298698898,0.8378766141,0.4868483979,0.3467240555,0.1889048302,0.2477283596,0.1401243424,0.1941654711,0.5217599235,0.3338115734,0.8732663797,0.6355810617,0.3495934959,0.7355332377,0.2477283596,0.1941654711,0.8378766141,0.8732663797,0.7355332377,0.4710664754,0.5413677666,0.3390722143,0.2458153993,0.2864658058,0.8393113343,0.8507890961,0.5447154472,0.406504065,0.4591104735,0.7274031564,0.3782879005,0.6221903396,0.6709708274,0.6566236251,0.6422764228,0.5858440937,0.6489717838,0.5781922525,0.3543758967,0.2329029173,0.2262075562,0.05882352941
0.5101058437,0.2797704448,0.2018173123,0.3586800574,0.2458153993,0.3782879005,0.4265901483,0.1941654711,0.7890961263,0.4088952654,0.2553802009,0.7910090866,0.1056910569,0.2199904352,0.3782879005,0.1941654711,0.2797704448,0.2553802009,0.2199904352,0.6967957915,0.7274031564,0.6408417025,0.7159253945,0.8029650885,0.7345767575,0.5337159254,0.9526542324,0.6451458632,0.9445241511,0.6676231468,0.9990435198,0.4414155906,0.6709708274,0.7513151602,0.9574366332,0.8747011,0.9325681492,0.5781922525,0.7441415591,0.9177427068,0.918699187,0.599713056
