Pose_ID,Joint,X,Y,Confidence,Visible
0,Nose,0.56,0.24,1.000,Yes
0,Neck,0.62,0.33,1.000,Yes
0,RShoulder,0.52,0.32,1.000,Yes
0,RElbow,0.39,0.30,1.000,Yes
0,RWrist,0.33,0.22,1.000,Yes
0,LShoulder,0.71,0.34,1.000,Yes
0,LElbow,0.76,0.45,1.000,Yes
0,LWrist,0.67,0.48,1.000,Yes
0,RHip,0.48,0.51,1.000,Yes
0,RKnee,0.50,0.69,1.000,Yes
0,RAnkle,0.51,0.86,1.000,Yes
0,LHip,0.58,0.53,1.000,Yes
0,LKnee,0.66,0.69,1.000,Yes
0,LAnkle,0.77,0.86,1.000,Yes
0,REye,0.55,0.24,1.000,Yes
0,LEye,0.59,0.23,1.000,Yes
0,REar,N/A,N/A,N/A,No
0,LEar,0.66,0.24,1.000,Yes

Timestamp,2026-04-04T10:59:40.316720
